,fname,cycle,sound,location,time
52,../set_a_cut/normal__201103090635_S1_7.wav,7,S1,173024,3923.4467120181407
53,../set_a_cut/normal__201103090635_S2_7.wav,7,S2,184523,4184.195011337869
54,../set_a_cut/normal__201103090635_S1_8.wav,8,S1,199856,4531.8820861678005
55,../set_a_cut/normal__201103090635_S2_8.wav,8,S2,212122,4810.022675736962
56,../set_a_cut/normal__201103090635_S1_9.wav,9,S1,225154,5105.532879818594
57,../set_a_cut/normal__201103090635_S2_9.wav,9,S2,238187,5401.065759637188
58,../set_a_cut/normal__201103090635_S1_10.wav,10,S1,251220,5696.598639455782
59,../set_a_cut/normal__201103090635_S2_10.wav,10,S2,264252,5992.108843537415
60,../set_a_cut/normal__201103090635_S1_11.wav,11,S1,276518,6270.249433106576
61,../set_a_cut/normal__201103090635_S2_11.wav,11,S2,289551,6565.78231292517
62,../set_a_cut/normal__201103090635_S1_12.wav,12,S1,302583,6861.292517006803
63,../set_a_cut/normal__201103090635_S2_12.wav,12,S2,314849,7139.433106575963
64,../set_a_cut/normal__201103090635_S1_13.wav,13,S1,328649,7452.358276643991
65,../set_a_cut/normal__201103090635_S2_13.wav,13,S2,341681,7747.868480725623
66,../set_a_cut/normal__201103140132_S1_1.wav,1,S1,15358,348.25396825396825
67,../set_a_cut/normal__201103140132_S2_1.wav,1,S2,28272,641.0884353741496
68,../set_a_cut/normal__201103140132_S1_2.wav,2,S1,88539,2007.687074829932
69,../set_a_cut/normal__201103140132_S2_2.wav,2,S2,104036,2359.092970521542
70,../set_a_cut/normal__201103140132_S1_3.wav,3,S1,127282,2886.2131519274376
71,../set_a_cut/normal__201103140132_S2_3.wav,3,S2,141057,3198.5714285714284
72,../set_a_cut/normal__201103140132_S1_4.wav,4,S1,169469,3842.834467120181
73,../set_a_cut/normal__201103140132_S2_4.wav,4,S2,182383,4135.668934240362
74,../set_a_cut/normal__201103140132_S1_5.wav,5,S1,206490,4682.312925170068
75,../set_a_cut/normal__201103140132_S2_5.wav,5,S2,220265,4994.671201814059
76,../set_a_cut/normal__201103140132_S1_6.wav,6,S1,241789,5482.743764172335
77,../set_a_cut/normal__201103140132_S2_6.wav,6,S2,255564,5795.102040816327
78,../set_a_cut/normal__201103140132_S1_7.wav,7,S1,278810,6322.222222222223
79,../set_a_cut/normal__201103140132_S2_7.wav,7,S2,291725,6615.079365079365
80,../set_a_cut/normal__201103140132_S1_8.wav,8,S1,319275,7239.7959183673465
81,../set_a_cut/normal__201103140132_S2_8.wav,8,S2,333911,7571.678004535147
82,../set_a_cut/normal__201103140132_S1_9.wav,9,S1,362323,8215.9410430839
83,../set_a_cut/normal__201103140132_S2_9.wav,9,S2,376098,8528.299319727892
84,../set_a_cut/normal__201103140822_S1_1.wav,1,S1,2444,55.419501133786845
85,../set_a_cut/normal__201103140822_S2_1.wav,1,S2,17080,387.3015873015873
86,../set_a_cut/normal__201103140822_S1_2.wav,2,S1,43770,992.5170068027211
87,../set_a_cut/normal__201103140822_S2_2.wav,2,S2,57545,1304.875283446712
88,../set_a_cut/normal__201103140822_S1_3.wav,3,S1,83374,1890.5668934240364
89,../set_a_cut/normal__201103140822_S2_3.wav,3,S2,97149,2202.925170068027
90,../set_a_cut/normal__201103140822_S1_4.wav,4,S1,122977,2788.59410430839
91,../set_a_cut/normal__201103140822_S2_4.wav,4,S2,133309,3022.879818594104
92,../set_a_cut/normal__201103140822_S1_5.wav,5,S1,156555,3550.0
93,../set_a_cut/normal__201103140822_S2_5.wav,5,S2,174635,3959.9773242630386
94,../set_a_cut/normal__201103140822_S1_6.wav,6,S1,194437,4409.002267573696
95,../set_a_cut/normal__201103140822_S2_6.wav,6,S2,213378,4838.503401360545
96,../set_a_cut/normal__201103151912_S1_1.wav,1,S1,2244,50.8843537414966
97,../set_a_cut/normal__201103151912_S2_1.wav,1,S2,11053,250.63492063492063
98,../set_a_cut/normal__201103151912_S1_2.wav,2,S1,24829,563.015873015873
99,../set_a_cut/normal__201103151912_S2_2.wav,2,S2,60128,1363.4467120181405
100,../set_a_cut/normal__201103151912_S1_3.wav,3,S1,78208,1773.424036281179
101,../set_a_cut/normal__201103151912_S2_3.wav,3,S2,95427,2163.877551020408
102,../set_a_cut/normal__201103151912_S1_4.wav,4,S1,116090,2632.426303854875
103,../set_a_cut/normal__201103151912_S2_4.wav,4,S2,132448,3003.356009070295
104,../set_a_cut/normal__201103151912_S1_5.wav,5,S1,151389,3432.8571428571427
105,../set_a_cut/normal__201103151912_S2_5.wav,5,S2,166886,3784.263038548753
106,../set_a_cut/normal__201103151912_S1_6.wav,6,S1,201324,4565.170068027211
107,../set_a_cut/normal__201103151912_S2_6.wav,6,S2,221987,5033.718820861678
108,../set_a_cut/normal__201103221214_S1_1.wav,1,S1,26831,608.4126984126984
109,../set_a_cut/normal__201103221214_S2_1.wav,1,S2,38095,863.8321995464853
110,../set_a_cut/normal__201103221214_S1_2.wav,2,S1,53667,1216.938775510204
111,../set_a_cut/normal__201103221214_S2_2.wav,2,S2,64601,1464.875283446712
112,../set_a_cut/normal__201103221214_S1_3.wav,3,S1,80173,1817.9818594104308
113,../set_a_cut/normal__201103221214_S2_3.wav,3,S2,91769,2080.9297052154193
114,../set_a_cut/normal__201103221214_S1_4.wav,4,S1,107341,2434.0362811791383
115,../set_a_cut/normal__201103221214_S2_4.wav,4,S2,118605,2689.4557823129253
116,../set_a_cut/normal__201103221214_S1_5.wav,5,S1,134509,3050.090702947846
117,../set_a_cut/normal__201103221214_S2_5.wav,5,S2,145442,3298.0045351473923
118,../set_a_cut/normal__201104141251_S1_1.wav,1,S1,20189,457.8004535147392
119,../set_a_cut/normal__201104141251_S2_1.wav,1,S2,31879,722.8798185941043
120,../set_a_cut/normal__201104141251_S1_2.wav,2,S1,50876,1153.6507936507937
121,../set_a_cut/normal__201104141251_S2_2.wav,2,S2,63297,1435.3061224489795
122,../set_a_cut/normal__201104141251_S1_3.wav,3,S1,82294,1866.077097505669
123,../set_a_cut/normal__201104141251_S2_3.wav,3,S2,95446,2164.3083900226757
124,../set_a_cut/normal__201104141251_S1_4.wav,4,S1,115904,2628.2086167800453
125,../set_a_cut/normal__201104141251_S2_4.wav,4,S2,128326,2909.8866213151928
126,../set_a_cut/normal__201104141251_S1_5.wav,5,S1,148053,3357.2108843537417
127,../set_a_cut/normal__201104141251_S2_5.wav,5,S2,161205,3655.4421768707484
128,../set_a_cut/normal__201104141251_S1_6.wav,6,S1,179471,4069.637188208617
129,../set_a_cut/normal__201104141251_S2_6.wav,6,S2,191623,4345.1927437641725
130,../set_a_cut/normal__201104141251_S1_7.wav,7,S1,210889,4782.063492063492
131,../set_a_cut/normal__201104141251_S2_7.wav,7,S2,224041,5080.294784580499
132,../set_a_cut/normal__201104141251_S1_8.wav,8,S1,244499,5544.195011337869
133,../set_a_cut/normal__201104141251_S2_8.wav,8,S2,256920,5825.850340136054
134,../set_a_cut/normal__201104141251_S1_9.wav,9,S1,278109,6306.326530612245
135,../set_a_cut/normal__201104141251_S2_9.wav,9,S2,289800,6571.428571428572
136,../set_a_cut/normal__201105011626_S1_1.wav,1,S1,1855,42.06349206349206
137,../set_a_cut/normal__201105011626_S2_1.wav,1,S2,14497,328.73015873015873
138,../set_a_cut/normal__201105011626_S1_2.wav,2,S1,22246,504.44444444444446
139,../set_a_cut/normal__201105011626_S2_2.wav,2,S2,34299,777.7551020408164
140,../set_a_cut/normal__201105011626_S1_3.wav,3,S1,42048,953.469387755102
141,../set_a_cut/normal__201105011626_S2_3.wav,3,S2,54962,1246.3038548752834
142,../set_a_cut/normal__201105011626_S1_4.wav,4,S1,62711,1422.0181405895692
143,../set_a_cut/normal__201105011626_S2_4.wav,4,S2,74764,1695.328798185941
144,../set_a_cut/normal__201105011626_S1_5.wav,5,S1,83374,1890.5668934240364
145,../set_a_cut/normal__201105011626_S2_5.wav,5,S2,95427,2163.877551020408
146,../set_a_cut/normal__201105011626_S1_6.wav,6,S1,104036,2359.092970521542
147,../set_a_cut/normal__201105011626_S2_6.wav,6,S2,115229,2612.9024943310656
148,../set_a_cut/normal__201105011626_S1_7.wav,7,S1,123838,2808.1179138321995
149,../set_a_cut/normal__201105011626_S2_7.wav,7,S2,135031,3061.9274376417234
150,../set_a_cut/normal__201105011626_S1_8.wav,8,S1,142779,3237.6190476190477
151,../set_a_cut/normal__201105011626_S2_8.wav,8,S2,163899,3716.530612244898
152,../set_a_cut/normal__201105011626_S1_9.wav,9,S1,154833,3510.9523809523807
153,../set_a_cut/normal__201105011626_S2_9.wav,9,S2,176357,3999.024943310658
154,../set_a_cut/normal__201105011626_S1_10.wav,10,S1,183244,4155.1927437641725
155,../set_a_cut/normal__201105011626_S2_10.wav,10,S2,195298,4428.526077097506
156,../set_a_cut/normal__201105011626_S1_11.wav,11,S1,204768,4643.265306122449
157,../set_a_cut/normal__201105011626_S2_11.wav,11,S2,215100,4877.551020408163
158,../set_a_cut/normal__201105011626_S1_12.wav,12,S1,223709,5072.766439909297
159,../set_a_cut/normal__201105011626_S2_12.wav,12,S2,236623,5365.600907029479
160,../set_a_cut/normal__201105011626_S1_13.wav,13,S1,244372,5541.315192743764
161,../set_a_cut/normal__201105011626_S2_13.wav,13,S2,256425,5814.625850340136
162,../set_a_cut/normal__201105011626_S1_14.wav,14,S1,265035,6009.863945578231
163,../set_a_cut/normal__201105011626_S2_14.wav,14,S2,277949,6302.6984126984125
164,../set_a_cut/normal__201105011626_S1_15.wav,15,S1,286559,6497.936507936508
165,../set_a_cut/normal__201105011626_S2_15.wav,15,S2,301195,6829.818594104308
166,../set_a_cut/normal__201105011626_S1_16.wav,16,S1,306361,6946.961451247165
167,../set_a_cut/normal__201105011626_S2_16.wav,16,S2,320136,7259.319727891157
168,../set_a_cut/normal__201105011626_S1_17.wav,17,S1,327885,7435.034013605442
169,../set_a_cut/normal__201105011626_S2_17.wav,17,S2,337355,7649.7732426303855
170,../set_a_cut/normal__201105011626_S1_18.wav,18,S1,346826,7864.53514739229
171,../set_a_cut/normal__201105011626_S2_18.wav,18,S2,359740,8157.369614512471
172,../set_a_cut/normal__201105011626_S1_19.wav,19,S1,380403,8625.918367346938
173,../set_a_cut/normal__201105011626_S2_19.wav,19,S2,388151,8801.609977324262
174,../set_a_cut/normal__201105021654_S1_1.wav,1,S1,23481,532.4489795918367
175,../set_a_cut/normal__201105021654_S2_1.wav,1,S2,38781,879.3877551020408
176,../set_a_cut/normal__201105021654_S1_2.wav,2,S1,78563,1781.4739229024942
177,../set_a_cut/normal__201105021654_S2_2.wav,2,S2,93863,2128.4126984126983
178,../set_a_cut/normal__201105021654_S1_3.wav,3,S1,125229,2839.6598639455783
179,../set_a_cut/normal__201105021654_S2_3.wav,3,S2,139765,3169.2743764172337
180,../set_a_cut/normal__201105021654_S1_4.wav,4,S1,168836,3828.4807256235827
181,../set_a_cut/normal__201105021654_S2_4.wav,4,S2,184136,4175.419501133787
182,../set_a_cut/normal__201105021654_S1_5.wav,5,S1,214737,4869.319727891157
183,../set_a_cut/normal__201105021654_S2_5.wav,5,S2,229273,5198.934240362812
184,../set_a_cut/normal__201105021654_S1_6.wav,6,S1,269054,6100.997732426304
185,../set_a_cut/normal__201105021654_S2_6.wav,6,S2,283590,6430.6122448979595
186,../set_a_cut/normal__201105021654_S1_7.wav,7,S1,326431,7402.063492063492
187,../set_a_cut/normal__201105021654_S2_7.wav,7,S2,341732,7749.024943310657
188,../set_a_cut/normal__201105021804_S1_1.wav,1,S1,23107,523.968253968254
189,../set_a_cut/normal__201105021804_S2_1.wav,1,S2,34299,777.7551020408164
190,../set_a_cut/normal__201105021804_S1_2.wav,2,S1,49796,1129.1609977324263
191,../set_a_cut/normal__201105021804_S2_2.wav,2,S2,60128,1363.4467120181405
192,../set_a_cut/normal__201105021804_S1_3.wav,3,S1,74764,1695.328798185941
193,../set_a_cut/normal__201105021804_S2_3.wav,3,S2,85095,1929.591836734694
194,../set_a_cut/normal__201105021804_S1_4.wav,4,S1,100593,2281.0204081632655
195,../set_a_cut/normal__201105021804_S2_4.wav,4,S2,111785,2534.8072562358275
196,../set_a_cut/normal__201105021804_S1_5.wav,5,S1,127282,2886.2131519274376
197,../set_a_cut/normal__201105021804_S2_5.wav,5,S2,138475,3140.0226757369614
198,../set_a_cut/normal__201105021804_S1_6.wav,6,S1,153972,3491.4285714285716
199,../set_a_cut/normal__201105021804_S2_6.wav,6,S2,164303,3725.6916099773243
200,../set_a_cut/normal__201105021804_S1_7.wav,7,S1,179800,4077.0975056689344
201,../set_a_cut/normal__201105021804_S2_7.wav,7,S2,189271,4291.859410430839
202,../set_a_cut/normal__201105021804_S1_8.wav,8,S1,203907,4623.741496598639
203,../set_a_cut/normal__201105021804_S2_8.wav,8,S2,215961,4897.074829931973
204,../set_a_cut/normal__201105021804_S1_9.wav,9,S1,228875,5189.909297052154
205,../set_a_cut/normal__201105021804_S2_9.wav,9,S2,239206,5424.172335600907
206,../set_a_cut/normal__201105021804_S1_10.wav,10,S1,253843,5756.077097505669
207,../set_a_cut/normal__201105021804_S2_10.wav,10,S2,264174,5990.340136054422
208,../set_a_cut/normal__201105021804_S1_11.wav,11,S1,280532,6361.269841269841
209,../set_a_cut/normal__201105021804_S2_11.wav,11,S2,290003,6576.0317460317465
210,../set_a_cut/normal__201105021804_S1_12.wav,12,S1,305500,6927.437641723356
211,../set_a_cut/normal__201105021804_S2_12.wav,12,S2,314970,7142.1768707483
212,../set_a_cut/normal__201105021804_S1_13.wav,13,S1,330467,7493.582766439909
213,../set_a_cut/normal__201105021804_S2_13.wav,13,S2,340799,7727.868480725623
214,../set_a_cut/normal__201105021804_S1_14.wav,14,S1,355435,8059.750566893424
215,../set_a_cut/normal__201105021804_S2_14.wav,14,S2,367489,8333.083900226757
216,../set_a_cut/normal__201105021804_S1_15.wav,15,S1,381264,8645.442176870749
217,../set_a_cut/normal__201105021804_S2_15.wav,15,S2,389873,8840.657596371882
218,../set_a_cut/normal__201105151450_S1_1.wav,1,S1,25679,582.2902494331066
219,../set_a_cut/normal__201105151450_S2_1.wav,1,S2,39379,892.9478458049887
220,../set_a_cut/normal__201105151450_S1_2.wav,2,S1,55964,1269.0249433106576
221,../set_a_cut/normal__201105151450_S2_2.wav,2,S2,70385,1596.031746031746
222,../set_a_cut/normal__201105151450_S1_3.wav,3,S1,89853,2037.4829931972788
223,../set_a_cut/normal__201105151450_S2_3.wav,3,S2,104275,2364.5124716553287
224,../set_a_cut/normal__201105151450_S1_4.wav,4,S1,123743,2805.9637188208617
225,../set_a_cut/normal__201105151450_S2_4.wav,4,S2,137443,3116.6213151927436
226,../set_a_cut/normal__201105151450_S1_5.wav,5,S1,156912,3558.095238095238
227,../set_a_cut/normal__201105151450_S2_5.wav,5,S2,170612,3868.75283446712
228,../set_a_cut/normal__201105151450_S1_6.wav,6,S1,192965,4375.6235827664395
229,../set_a_cut/normal__201105151450_S2_6.wav,6,S2,205223,4653.582766439909
230,../set_a_cut/normal__201105151450_S1_7.wav,7,S1,226855,5144.104308390023
231,../set_a_cut/normal__201105151450_S2_7.wav,7,S2,241276,5471.111111111111
232,../set_a_cut/normal__201105151450_S1_8.wav,8,S1,262907,5961.609977324263
233,../set_a_cut/normal__201105151450_S2_8.wav,8,S2,277003,6281.24716553288
234,../set_a_cut/normal__201105151450_S1_9.wav,9,S1,298239,6762.789115646258
235,../set_a_cut/normal__201105151450_S2_9.wav,9,S2,312660,7089.7959183673465
236,../set_a_cut/normal__201106111136_S1_1.wav,1,S1,18943,429.54648526077096
237,../set_a_cut/normal__201106111136_S2_1.wav,1,S2,32239,731.0430839002267
238,../set_a_cut/normal__201106111136_S1_2.wav,2,S1,55506,1258.639455782313
239,../set_a_cut/normal__201106111136_S2_2.wav,2,S2,65953,1495.5328798185942
240,../set_a_cut/normal__201106111136_S1_3.wav,3,S1,86846,1969.297052154195
241,../set_a_cut/normal__201106111136_S2_3.wav,3,S2,100142,2270.7936507936506
242,../set_a_cut/normal__201106111136_S1_4.wav,4,S1,121510,2755.328798185941
243,../set_a_cut/normal__201106111136_S2_4.wav,4,S2,135280,3067.573696145125
244,../set_a_cut/normal__201106111136_S1_5.wav,5,S1,158073,3584.421768707483
245,../set_a_cut/normal__201106111136_S2_5.wav,5,S2,168044,3810.5215419501133
246,../set_a_cut/normal__201106111136_S1_6.wav,6,S1,188938,4284.308390022676
247,../set_a_cut/normal__201106111136_S2_6.wav,6,S2,200809,4553.492063492064
248,../set_a_cut/normal__201106141148_S1_1.wav,1,S1,20449,463.69614512471657
249,../set_a_cut/normal__201106141148_S2_1.wav,1,S2,30349,688.1859410430839
250,../set_a_cut/normal__201106141148_S1_2.wav,2,S1,46849,1062.3356009070294
251,../set_a_cut/normal__201106141148_S2_2.wav,2,S2,57299,1299.297052154195
252,../set_a_cut/normal__201106141148_S1_3.wav,3,S1,72698,1648.4807256235827
253,../set_a_cut/normal__201106141148_S2_3.wav,3,S2,83698,1897.9138321995465
254,../set_a_cut/normal__201106141148_S1_4.wav,4,S1,99648,2259.591836734694
255,../set_a_cut/normal__201106141148_S2_4.wav,4,S2,111197,2521.4739229024945
256,../set_a_cut/normal__201106141148_S1_5.wav,5,S1,127147,2883.151927437642
257,../set_a_cut/normal__201106141148_S2_5.wav,5,S2,137047,3107.641723356009
258,../set_a_cut/normal__201106141148_S1_6.wav,6,S1,153546,3481.7687074829932
259,../set_a_cut/normal__201106141148_S2_6.wav,6,S2,164546,3731.201814058957
260,../set_a_cut/normal__201106141148_S1_7.wav,7,S1,180496,4092.879818594104
261,../set_a_cut/normal__201106141148_S2_7.wav,7,S2,190395,4317.34693877551
262,../set_a_cut/normal__201106141148_S1_8.wav,8,S1,207995,4716.4399092970525
263,../set_a_cut/normal__201106141148_S2_8.wav,8,S2,217345,4928.458049886622
264,../set_a_cut/normal__201106210943_S1_1.wav,1,S1,4036,91.51927437641723
265,../set_a_cut/normal__201106210943_S2_1.wav,1,S2,17466,396.05442176870747
266,../set_a_cut/normal__201106210943_S1_2.wav,2,S1,39290,890.9297052154195
267,../set_a_cut/normal__201106210943_S2_2.wav,2,S2,53839,1220.8390022675737
268,../set_a_cut/normal__201106210943_S1_3.wav,3,S1,72305,1639.5691609977325
269,../set_a_cut/normal__201106210943_S2_3.wav,3,S2,85735,1944.1043083900227
270,../set_a_cut/normal__201106210943_S1_4.wav,4,S1,105320,2388.2086167800453
271,../set_a_cut/normal__201106210943_S2_4.wav,4,S2,119310,2705.4421768707484
272,../set_a_cut/normal__201106210943_S1_5.wav,5,S1,140574,3187.6190476190477
273,../set_a_cut/normal__201106210943_S2_5.wav,5,S2,154004,3492.154195011338
274,../set_a_cut/normal__201106210943_S1_6.wav,6,S1,171351,3885.5102040816328
275,../set_a_cut/normal__201106210943_S2_6.wav,6,S2,185341,4202.743764172335
276,../set_a_cut/normal__201106210943_S1_7.wav,7,S1,206045,4672.222222222223
277,../set_a_cut/normal__201106210943_S2_7.wav,7,S2,219475,4976.757369614513
278,../set_a_cut/normal__201106221418_S1_1.wav,1,S1,25126,569.7505668934241
279,../set_a_cut/normal__201106221418_S2_1.wav,1,S2,39194,888.7528344671202
280,../set_a_cut/normal__201106221418_S1_2.wav,2,S1,59291,1344.4671201814058
281,../set_a_cut/normal__201106221418_S2_2.wav,2,S2,71349,1617.891156462585
282,../set_a_cut/normal__201106221418_S1_3.wav,3,S1,92116,2088.798185941043
283,../set_a_cut/normal__201106221418_S2_3.wav,3,S2,104844,2377.4149659863947
284,../set_a_cut/normal__201106221418_S1_4.wav,4,S1,122261,2772.358276643991
285,../set_a_cut/normal__201106221418_S2_4.wav,4,S2,137669,3121.746031746032
286,../set_a_cut/normal__201106221418_S1_5.wav,5,S1,154416,3501.496598639456
287,../set_a_cut/normal__201106221418_S2_5.wav,5,S2,169154,3835.6916099773243
288,../set_a_cut/normal__201106221418_S1_6.wav,6,S1,190591,4321.791383219955
289,../set_a_cut/normal__201106221418_S2_6.wav,6,S2,203319,4610.408163265306
290,../set_a_cut/normal__201106221418_S1_7.wav,7,S1,223416,5066.122448979592
291,../set_a_cut/normal__201106221418_S2_7.wav,7,S2,237484,5385.124716553288
292,../set_a_cut/normal__201106221418_S1_8.wav,8,S1,261600,5931.972789115646
293,../set_a_cut/normal__201106221418_S2_8.wav,8,S2,274328,6220.589569160998
294,../set_a_cut/normal__201106221450_S1_1.wav,1,S1,1583,35.89569160997733
295,../set_a_cut/normal__201106221450_S2_1.wav,1,S2,15358,348.25396825396825
296,../set_a_cut/normal__201106221450_S1_2.wav,2,S1,37743,855.8503401360545
297,../set_a_cut/normal__201106221450_S2_2.wav,2,S2,53240,1207.2562358276643
298,../set_a_cut/normal__201106221450_S1_3.wav,3,S1,73903,1675.8049886621316
299,../set_a_cut/normal__201106221450_S2_3.wav,3,S2,88539,2007.687074829932
300,../set_a_cut/normal__201106221450_S1_4.wav,4,S1,110063,2495.7596371882087
301,../set_a_cut/normal__201106221450_S2_4.wav,4,S2,123838,2808.1179138321995
302,../set_a_cut/normal__201106221450_S1_5.wav,5,S1,146223,3315.714285714286
303,../set_a_cut/normal__201106221450_S2_5.wav,5,S2,159998,3628.0725623582766
304,../set_a_cut/normal__201106221450_S1_6.wav,6,S1,183244,4155.1927437641725
305,../set_a_cut/normal__201106221450_S2_6.wav,6,S2,197880,4487.074829931973
306,../set_a_cut/normal__201106221450_S1_7.wav,7,S1,220265,4994.671201814059
307,../set_a_cut/normal__201106221450_S2_7.wav,7,S2,235762,5346.077097505669
308,../set_a_cut/normal__201106221450_S1_8.wav,8,S1,257286,5834.149659863946
309,../set_a_cut/normal__201106221450_S2_8.wav,8,S2,272784,6185.578231292517
310,../set_a_cut/normal__201106221450_S1_9.wav,9,S1,295168,6693.1519274376415
311,../set_a_cut/normal__201106221450_S2_9.wav,9,S2,308944,7005.532879818594
312,../set_a_cut/normal__201106221450_S1_10.wav,10,S1,330467,7493.582766439909
313,../set_a_cut/normal__201106221450_S2_10.wav,10,S2,344243,7805.963718820862
314,../set_a_cut/normal__201106221450_S1_11.wav,11,S1,365767,8294.036281179138
315,../set_a_cut/normal__201106221450_S2_11.wav,11,S2,379542,8606.394557823129
316,../set_a_cut/normal__201108011112_S1_1.wav,1,S1,24810,562.5850340136054
317,../set_a_cut/normal__201108011112_S2_1.wav,1,S2,39993,906.8707482993198
318,../set_a_cut/normal__201108011112_S1_2.wav,2,S1,62008,1406.077097505669
319,../set_a_cut/normal__201108011112_S2_2.wav,2,S2,75672,1715.9183673469388
320,../set_a_cut/normal__201108011112_S1_3.wav,3,S1,97687,2215.124716553288
321,../set_a_cut/normal__201108011112_S2_3.wav,3,S2,112110,2542.1768707482993
322,../set_a_cut/normal__201108011112_S1_4.wav,4,S1,134125,3041.3832199546487
323,../set_a_cut/normal__201108011112_S2_4.wav,4,S2,148548,3368.4353741496598
324,../set_a_cut/normal__201108011112_S1_5.wav,5,S1,169804,3850.4308390022675
325,../set_a_cut/normal__201108011112_S2_5.wav,5,S2,184227,4177.482993197279
326,../set_a_cut/normal__201108011112_S1_6.wav,6,S1,206242,4676.689342403628
327,../set_a_cut/normal__201108011112_S2_6.wav,6,S2,220665,5003.741496598639
328,../set_a_cut/normal__201108011112_S1_7.wav,7,S1,243439,5520.158730158731
329,../set_a_cut/normal__201108011112_S2_7.wav,7,S2,257104,5830.022675736962
